Kulma (aste)	Cos2 (kulma)	Intensiteetti (mV)	Normeerattu
			intensiteetti
			
0	1	1.692	0.990052662
5	0.992403877	1.709	1
10	0.96984631	1.704	0.997074312
15	0.933012702	1.669	0.9765945
20	0.883022222	1.617	0.946167349
25	0.821393805	1.532	0.896430661
30	0.75	1.438	0.841427736
35	0.671010072	1.33	0.778232885
40	0.586824089	1.206	0.705675834
45	0.5	1.056	0.617905208
50	0.413175911	0.906	0.530134582
55	0.328989928	0.75	0.43885313
60	0.25	0.604	0.353423054
65	0.178606195	0.45	0.263311878
70	0.116977778	0.318	0.186073727
75	0.066987298	0.214	0.125219427
80	0.03015369	0.108	0.063194851
85	0.007596123	0.036	0.02106495
90	3.75247E-33	0.004	0.00234055
			
			
		Keskiarvo	0.564904068
		Hajonta	0.371166143
